phase,episode_index,seed,frame_index,time_s,x_m,y_m,z_m,quat_w,quat_x,quat_y,quat_z
validation-source,2,2005202,22,2.1999999999999793,-0.4274909642837494,-0.9186439703461333,1.1989798203665707,0.9998501887430972,-0.016571770790856345,0.00499687795162896,-8.771536131435434e-05
validation-source,2,2005202,23,2.2999999999999683,-0.35753545220096905,-0.9352453555380688,1.1992401197908675,0.9998372273129844,-0.017595052885091143,0.0039910209985362,-6.887992081853586e-05
validation-source,2,2005202,24,2.3999999999999573,-0.2867880989605355,-0.9483931877837258,1.1994937931182081,0.9998195936095885,-0.0186703522927548,0.0034920223627133836,-6.292408167348894e-05
validation-source,2,2005202,25,2.4999999999999463,-0.2153518655885118,-0.9578647735288885,1.1997353221849956,0.9997932429503007,-0.020082695056496614,0.0031863630346637478,-6.165064170021423e-05
validation-source,2,2005202,26,2.5999999999999353,-0.14326071312615482,-0.9634874048082726,1.1998984748339052,0.9998428971312263,-0.017199888765736346,0.004282618070770598,-6.37584673197273e-05
validation-source,2,2005202,27,2.6999999999999242,-0.07036790690126378,-0.9657295981613856,1.1999670896501866,0.9998983654272532,-0.01374316071996973,0.003792428073183034,-4.287937861023699e-05
validation-source,2,2005202,28,2.7999999999999132,0.003235065262589477,-0.9652751457743136,1.199980888264675,0.999941992168745,-0.010698527283980307,0.0012464010558963378,-1.720354087762773e-05
validation-source,2,2005202,29,2.899999999999902,0.07704212008445667,-0.9624976717734572,1.200053686588176,0.9998317529761687,-0.018039455056280677,-0.0033204231827740037,0.00013635161250854304
validation-source,2,2005202,30,2.999999999999891,0.15026888252107853,-0.9563885673345968,1.2001107532092694,0.9998368053739078,-0.017442962967095986,-0.004697275370269522,0.0002031421271197254
validation-source,2,2005202,31,3.09999999999988,0.22259462375746297,-0.9469572654881989,1.2000139607027869,0.9999450713554358,-0.0095773200316346,-0.004255172144204003,0.00015074152897869703
validation-source,2,2005202,32,3.199999999999869,0.2940330170030881,-0.9356229019550091,1.1998845740038206,0.9999759703560837,-0.002905401377814602,-0.0062938149715491415,7.243166813899656e-05
validation-source,2,2005202,33,3.299999999999858,0.3642284368389617,-0.9235815582142675,1.1997981426114654,0.9999538878719061,-0.003148741888316338,-0.009072211818263834,5.027033190028019e-05
validation-source,2,2005202,34,3.399999999999847,0.43269338511271,-0.9108441285664287,1.1997593009947067,0.9999229576735612,-0.008277566338962723,-0.009249638873839214,6.923558818403343e-05
validation-source,2,2005202,35,3.499999999999836,0.4993849986677614,-0.8964828262805,1.1997591823187572,0.9998847398745916,-0.013530996495788266,-0.0068858492748293185,6.464916858532102e-05
validation-source,2,2005202,36,3.599999999999825,0.5647368291872992,-0.8794419895055742,1.19981965320976,0.9998041893864662,-0.0194424567644598,-0.0036841752464898767,2.4758567522065105e-05
validation-source,2,2005202,37,3.699999999999814,0.6293617066690215,-0.8586281679237407,1.199929518272365,0.999731883310557,-0.023145384568581923,-0.0006723326491111216,-2.5185473199652443e-05
validation-source,2,2005202,38,3.799999999999803,0.6938190899499136,-0.833293053362489,1.2000483896236516,0.9996887456678388,-0.02494250822911231,0.0005307044703337308,-3.769707287525111e-05
validation-source,2,2005202,39,3.899999999999792,0.7583626081615039,-0.8030958601719632,1.2001385245094116,0.9996920018218638,-0.024812279738346977,0.0005015772929515153,-2.6225965105270586e-05
validation-source,2,2005202,40,3.999999999999781,0.8230114549152044,-0.7680895992531298,1.2001344324615353,0.9997696907568655,-0.021449046913382064,0.0007095047896491188,-2.0817836888399323e-05
validation-source,2,2005202,41,4.0999999999997705,0.8877567578868494,-0.7288775180722067,1.2000454725147955,0.9998463532053642,-0.017499581086900435,-0.0010171509151604044,6.908928100331277e-06
validation-source,2,2005202,42,4.1999999999997595,0.9523067629051916,-0.6862531108393478,1.1999070374990757,0.9999149872440071,-0.012707207491285006,-0.0029231360255207724,2.0937236745465764e-05
validation-source,2,2005202,43,4.2999999999997485,1.0162949927212557,-0.641137131682126,1.199748193659657,0.999962467311385,-0.007674016967744695,-0.004021591742420637,1.5230337865778422e-05
validation-source,2,2005202,44,4.3999999999997375,1.079508478044924,-0.5944822387007034,1.1996111994279992,0.99998125011962,-0.0043527547331423605,-0.0043073067940623275,6.6042541341074845e-06
validation-source,2,2005202,45,4.499999999999726,1.1418785246957255,-0.5469293573811411,1.199516712078189,0.9999846004674436,-0.003463723657384754,-0.004336060399833648,5.157548922250029e-06
validation-source,2,2005202,46,4.599999999999715,1.203419925452357,-0.4986870254959519,1.1994610903477245,0.9999888989700603,-0.00336717987526534,-0.003296061033404117,4.24229828960492e-06
validation-source,2,2005202,47,4.699999999999704,1.2643012301695313,-0.44976479144253545,1.199440778538707,0.999987874965516,-0.0041413017857085295,-0.0026644884729400513,6.530493312635678e-06
validation-source,2,2005202,48,4.799999999999693,1.3246512611446288,-0.400029002256001,1.1994534125021097,0.9999836406643868,-0.005084782293649155,-0.002619785078542592,1.0898005998838426e-05
validation-source,2,2005202,49,4.899999999999682,1.3844854334255636,-0.3493025560689844,1.1994897306192003,0.9999808976506545,-0.005577178141675946,-0.002664436695355783,1.3959403157166112e-05
